camera_id,segment_id,distance_m
DEI-001/CAM-01,35,17.839839233636734
DEI-001/CAM-01,1001030,17.839839233636734
DEI-001/CAM-01,36,31.42326897182191
DEI-001/CAM-01,1001249,31.42326897182191
DEI-001/CAM-02,36,24.24457787174215
DEI-001/CAM-02,1001249,24.24457787174215
DEI-001/CAM-02,35,25.477569438300968
DEI-001/CAM-02,1001030,25.477569438300968
DEI-002/CAM-01,35,13.803691501849729
DEI-002/CAM-01,1001026,13.803691501849729
DEI-002/CAM-01,36,28.632257826412253
DEI-002/CAM-01,1001027,28.632257826412253
DEI-002/CAM-02,36,20.153025872188156
DEI-002/CAM-02,1001027,20.153025872188156
DEI-002/CAM-02,35,22.170047145645135
DEI-002/CAM-02,1001026,22.170047145645135
DEI-003/CAM-01,78,22.8235325409853
DEI-003/CAM-01,1000748,22.8235325409853
DEI-003/CAM-01,77,33.12002109892733
DEI-003/CAM-01,1000747,33.12002109892733
DEI-003/CAM-02,78,26.37272615578657
DEI-003/CAM-02,1000748,26.37272615578657
DEI-003/CAM-02,77,29.68630549455876
DEI-003/CAM-02,1000747,29.68630549455876
DEI-006/CAM-01,35,19.75855005268327
DEI-006/CAM-01,1002267,19.75855005268327
DEI-006/CAM-01,36,24.02546170666254
DEI-006/CAM-01,1002347,24.02546170666254
DEI-006/CAM-01,1002419,26.80456436424182
DEI-006/CAM-02,36,15.8623527644176
DEI-006/CAM-02,1002347,15.8623527644176
DEI-006/CAM-02,1002419,18.521008735329367
DEI-006/CAM-02,35,27.85895580875545
DEI-006/CAM-02,1002267,27.85895580875545
DEI-007/CAM-01,36,3.4981061093267027
DEI-007/CAM-01,1001023,3.4981061093267027
DEI-007/CAM-02,35,4.609742314323731
DEI-007/CAM-02,150,29.0936455292665
DEI-007/CAM-02,1002293,29.0936455292665
DEI-007/CAM-02,36,47.15899933763998
DEI-007/CAM-02,151,54.87439961706553
DEI-007/CAM-02,1002294,54.87439961706553
DEI-007/CAM-03,36,1.7064324766115857
DEI-007/CAM-03,35,53.467399573924844
DEI-008/CAM-01,148,4.267362502705559
DEI-008/CAM-01,1002289,4.267362502705559
DEI-008/CAM-01,149,26.105375433797526
DEI-008/CAM-01,1002322,26.105375433797526
DEI-008/CAM-02,149,6.2290229155151176
DEI-008/CAM-02,1002322,6.2290229155151176
DEI-008/CAM-02,148,15.60033224638495
DEI-008/CAM-02,1002289,15.60033224638495
DEI-009/CAM-01,35,14.210470621439416
DEI-009/CAM-01,1000649,14.210470621439416
DEI-009/CAM-01,36,16.136741363592304
DEI-009/CAM-01,1000650,16.136741363592304
DEI-009/CAM-02,36,1.0774007244775665
DEI-009/CAM-02,1000650,1.0774007244775665
DEI-009/CAM-02,35,27.902785840033243
DEI-009/CAM-02,1000649,27.902785840033243
DEI-010/CAM-01,142,25.970212306522452
DEI-010/CAM-01,1001995,25.970212306522452
DEI-010/CAM-02,142,7.013528788315795
DEI-010/CAM-02,1001995,7.013528788315795
DEI-010/CAM-03,141,19.793941649391076
DEI-010/CAM-03,1002010,19.793941649391076
DEI-010/CAM-04,141,19.793941649391076
DEI-010/CAM-04,1002010,19.793941649391076
DEI-011/CAM-01,1000720,12.903045195865843
DEI-011/CAM-01,76,12.903045195865843
DEI-011/CAM-01,1002089,23.747881157591376
DEI-011/CAM-01,75,23.747881157591376
DEI-011/CAM-02,1000720,12.903045195865843
DEI-011/CAM-02,76,12.903045195865843
DEI-011/CAM-02,1002089,23.747881157591376
DEI-011/CAM-02,75,23.747881157591376
DEI-012/CAM-01,112,28.84952912637836
DEI-012/CAM-01,1001981,28.84952912637836
DEI-012/CAM-01,113,38.966188895267095
DEI-012/CAM-01,1001974,38.966188895267095
DEI-012/CAM-02,112,22.129862722297638
DEI-012/CAM-02,1001981,22.129862722297638
DEI-012/CAM-02,113,45.62387024632429
DEI-012/CAM-02,1001974,45.62387024632429
DEI-013/CAM-01,105,2.0889175514427283
DEI-013/CAM-01,1000998,2.0889175514427283
DEI-013/CAM-01,104,35.44589220131228
DEI-013/CAM-01,1000997,35.44589220131228
DEI-013/CAM-02,104,10.931377468604525
DEI-013/CAM-02,1000997,10.931377468604525
DEI-013/CAM-02,105,25.17950857661249
DEI-013/CAM-02,1000998,25.17950857661249
DEI-014/CAM-01,65,1.5917151320351857
DEI-014/CAM-01,1001063,1.5917151320351857
DEI-014/CAM-01,64,28.316945259063978
DEI-014/CAM-01,1001062,28.316945259063978
DEI-014/CAM-02,64,8.173843741494414
DEI-014/CAM-02,1001062,8.173843741494414
DEI-014/CAM-02,65,17.74427123754544
DEI-014/CAM-02,1001063,17.74427123754544
DEI-016/CAM-01,113,32.40141617194855
DEI-016/CAM-01,1001988,32.40141617194855
DEI-016/CAM-01,112,53.44339873318745
DEI-016/CAM-01,1001989,53.44339873318745
DEI-016/CAM-02,113,6.1340269477100815
DEI-016/CAM-02,1001988,6.1340269477100815
DEI-016/CAM-03,112,7.129215739920702
DEI-016/CAM-03,1001989,7.129215739920702
DEI-017/CAM-01,142,20.95959492019896
DEI-017/CAM-01,1002011,20.95959492019896
DEI-017/CAM-02,142,32.015568450485645
DEI-017/CAM-02,1002011,32.015568450485645
DEI-017/CAM-03,141,31.317890746459543
DEI-017/CAM-03,1002010,31.317890746459543
DEI-017/CAM-04,141,12.065123736861072
DEI-017/CAM-04,1002010,12.065123736861072
DEI-018/CAM-01,73,4.874777543128551
DEI-018/CAM-01,1000663,4.874777543128551
DEI-018/CAM-01,74,33.04157363652328
DEI-018/CAM-01,1000664,33.04157363652328
DEI-018/CAM-02,74,1.4096243958357229
DEI-018/CAM-02,1000664,1.4096243958357229
DEI-018/CAM-02,73,26.679863725803088
DEI-018/CAM-02,1000663,26.679863725803088
DEI-019/CAM-01,112,52.59177204236861
DEI-019/CAM-01,1001977,52.59177204236861
DEI-019/CAM-02,113,7.642323699765323
DEI-019/CAM-02,1001972,7.642323699765323
DEI-020/CAM-01,1000734,10.571726200871353
DEI-020/CAM-01,75,10.571726200871353
DEI-020/CAM-01,1001720,19.571167803237532
DEI-020/CAM-01,76,19.571167803237532
DEI-020/CAM-02,1001720,13.386124528930635
DEI-020/CAM-02,76,13.386124528930635
DEI-020/CAM-02,1000734,16.42524588581085
DEI-020/CAM-02,75,16.42524588581085
DEI-021/CAM-01,39,1.2899612987963822
DEI-021/CAM-01,1001305,1.2899612987963822
DEI-021/CAM-01,40,33.54459180242377
DEI-021/CAM-01,1000269,33.54459180242377
DEI-021/CAM-02,40,2.9585943695049193
DEI-021/CAM-02,1000269,2.9585943695049193
DEI-021/CAM-02,39,36.084346956712146
DEI-021/CAM-02,1001305,36.084346956712146
DEI-022/CAM-01,142,14.095021715129482
DEI-022/CAM-01,1002025,14.095021715129482
DEI-022/CAM-01,141,57.5620015249634
DEI-022/CAM-01,1002024,57.5620015249634
DEI-022/CAM-02,142,14.095021715129482
DEI-022/CAM-02,1002025,14.095021715129482
DEI-022/CAM-02,141,57.5620015249634
DEI-022/CAM-02,1002024,57.5620015249634
DEI-022/CAM-03,141,6.241015609541393
DEI-022/CAM-03,1002024,6.241015609541393
DEI-022/CAM-04,141,6.241015609541393
DEI-022/CAM-04,1002024,6.241015609541393
DEI-023/CAM-01,35,34.014946471591145
DEI-023/CAM-01,1001875,34.014946471591145
DEI-023/CAM-01,36,38.902519646601775
DEI-023/CAM-01,1001023,38.902519646601775
DEI-023/CAM-02,36,33.142754769396255
DEI-023/CAM-02,1001023,33.142754769396255
DEI-023/CAM-02,35,39.7722846281551
DEI-023/CAM-02,1001875,39.7722846281551
DEI-024/CAM-01,123,4.331295402690454
DEI-024/CAM-01,1001705,4.331295402690454
DEI-024/CAM-01,32,11.161642512230154
DEI-024/CAM-01,1001043,11.161642512230154
DEI-024/CAM-02,81,5.631743553318468
DEI-024/CAM-02,1001342,5.631743553318468
DEI-024/CAM-02,123,44.93213970576897
DEI-024/CAM-02,1001705,44.93213970576897
DEI-025/CAM-01,142,45.99135669281915
DEI-025/CAM-01,1002025,45.99135669281915
DEI-025/CAM-02,142,45.99135669281915
DEI-025/CAM-02,1002025,45.99135669281915
DEI-025/CAM-03,141,35.03181511675634
DEI-025/CAM-03,1002024,35.03181511675634
DEI-025/CAM-04,141,35.03181511675634
DEI-025/CAM-04,1002024,35.03181511675634
DEI-026/CAM-01,129,8.340251770987368
DEI-026/CAM-01,1002287,8.340251770987368
DEI-026/CAM-01,130,27.118047056611005
DEI-026/CAM-01,1002325,27.118047056611005
DEI-026/CAM-02,129,17.368589651746678
DEI-026/CAM-02,1002287,17.368589651746678
DEI-026/CAM-02,130,18.43847416081288
DEI-026/CAM-02,1002325,18.43847416081288
DEI-027/CAM-01,61,41.90146532639888
DEI-027/CAM-01,1000315,41.90146532639888
DEI-027/CAM-01,1000317,52.534077048564576
DEI-027/CAM-01,60,55.91386141898413
DEI-027/CAM-01,1000314,55.91386141898413
DEI-027/CAM-02,73,0.662662499252388
DEI-027/CAM-02,1000307,0.662662499252388
DEI-027/CAM-02,74,31.103363192132
DEI-027/CAM-02,1000306,31.103363192132
DEI-027/CAM-02,60,42.409416211976925
DEI-027/CAM-02,1000316,42.409416211976925
DEI-027/CAM-02,61,57.50255477676249
DEI-027/CAM-02,1000317,57.50255477676249
DEI-027/CAM-02,1000314,58.96595187322427
DEI-028/CAM-01,2,8.323872142716835
DEI-028/CAM-01,1000063,8.323872142716835
DEI-028/CAM-01,1,9.29849136156112
DEI-028/CAM-01,1000064,9.29849136156112
DEI-028/CAM-02,2,1.7044047050378506
DEI-028/CAM-02,1000063,1.7044047050378506
DEI-028/CAM-02,1,15.855104948114539
DEI-028/CAM-02,1000064,15.855104948114539
DEI-029/CAM-01,142,44.33467897470514
DEI-029/CAM-01,1002011,44.33467897470514
DEI-029/CAM-02,142,55.32092495237809
DEI-029/CAM-02,1002011,55.32092495237809
DEI-029/CAM-03,141,35.51919346298125
DEI-029/CAM-03,1002010,35.51919346298125
DEI-029/CAM-04,141,17.60884831760142
DEI-029/CAM-04,1002010,17.60884831760142
DEI-030/CAM-01,35,4.409684195764714
DEI-030/CAM-01,1000320,4.409684195764714
DEI-030/CAM-01,36,11.274876746667985
DEI-030/CAM-01,1000321,11.274876746667985
DEI-030/CAM-02,36,1.1773269338638648
DEI-030/CAM-02,1000321,1.1773269338638648
DEI-030/CAM-02,35,14.48719995808238
DEI-030/CAM-02,1000320,14.48719995808238
DEI-031/CAM-01,1000729,2.5099638689777186
DEI-031/CAM-01,75,2.5099638689777186
DEI-031/CAM-01,1000730,27.191784746510358
DEI-031/CAM-01,76,27.191784746510358
DEI-031/CAM-02,1000730,1.489562637785727
DEI-031/CAM-02,76,1.489562637785727
DEI-031/CAM-02,1000729,23.76075069346665
DEI-031/CAM-02,75,23.76075069346665
DEI-033/CAM-01,105,8.300882776470386
DEI-033/CAM-01,1001000,8.300882776470386
DEI-033/CAM-01,104,37.35424634471352
DEI-033/CAM-01,1000999,37.35424634471352
DEI-033/CAM-02,104,13.843753603985784
DEI-033/CAM-02,1000999,13.843753603985784
DEI-033/CAM-02,105,31.38428402103575
DEI-033/CAM-02,1001000,31.38428402103575
DEI-035/CAM-01,78,26.527199088577934
DEI-035/CAM-01,1001050,26.527199088577934
DEI-035/CAM-01,77,27.280627709041884
DEI-035/CAM-01,1001051,27.280627709041884
DEI-035/CAM-02,77,25.64352499434511
DEI-035/CAM-02,1001051,25.64352499434511
DEI-035/CAM-02,78,28.4967244810957
DEI-035/CAM-02,1001050,28.4967244810957
DEI-036/CAM-01,142,21.969486330399782
DEI-036/CAM-01,1002015,21.969486330399782
DEI-036/CAM-02,142,43.81491186427923
DEI-036/CAM-02,1002015,43.81491186427923
DEI-036/CAM-03,141,31.56524117268371
DEI-036/CAM-03,1002014,31.56524117268371
DEI-036/CAM-04,141,10.129919006998467
DEI-036/CAM-04,1002014,10.129919006998467
DEI-037/CAM-01,1000728,0.46961391746874603
DEI-037/CAM-01,76,0.46961391746874603
DEI-037/CAM-01,1000727,28.661365710374778
DEI-037/CAM-01,75,28.661365710374778
DEI-037/CAM-02,1000727,4.241796567672896
DEI-037/CAM-02,75,4.241796567672896
DEI-037/CAM-02,1000728,26.944399621649058
DEI-037/CAM-02,76,26.944399621649058
DEI-038/CAM-01,113,2.065201804540764
DEI-038/CAM-01,1001212,2.065201804540764
DEI-038/CAM-01,112,41.92213468259531
DEI-038/CAM-01,1001211,41.92213468259531
DEI-038/CAM-02,112,1.449786727320695
DEI-038/CAM-02,1001211,1.449786727320695
DEI-038/CAM-02,113,45.433254605472825
DEI-038/CAM-02,1001212,45.433254605472825
DEI-039/CAM-01,32,5.527565904781732
DEI-039/CAM-01,1001041,5.527565904781732
DEI-039/CAM-02,81,31.974715122959022
DEI-039/CAM-02,1001967,31.974715122959022
DEI-039/CAM-02,32,46.9348143468606
DEI-039/CAM-02,1001041,46.9348143468606
