camera_id,year,month,accidents
DEI-002/CAM-02,2019,3,145
DEI-002/CAM-02,2019,4,151
DEI-002/CAM-02,2019,5,165
DEI-002/CAM-02,2019,6,133
DEI-002/CAM-02,2019,7,133
DEI-002/CAM-02,2019,8,122
DEI-002/CAM-02,2019,9,144
DEI-002/CAM-02,2019,10,132
DEI-002/CAM-02,2019,11,116
DEI-002/CAM-02,2019,12,155
DEI-002/CAM-02,2020,1,103
DEI-002/CAM-02,2020,2,116
DEI-002/CAM-02,2020,3,80
DEI-002/CAM-02,2020,4,27
DEI-002/CAM-02,2020,5,42
DEI-002/CAM-02,2020,6,76
DEI-002/CAM-02,2020,7,90
DEI-002/CAM-02,2020,8,80
DEI-002/CAM-02,2020,9,79
DEI-002/CAM-02,2020,10,110
DEI-002/CAM-02,2020,11,110
DEI-002/CAM-02,2020,12,103
DEI-002/CAM-02,2021,1,70
DEI-002/CAM-02,2021,2,80
DEI-002/CAM-02,2021,3,122
DEI-002/CAM-02,2021,4,91
DEI-002/CAM-02,2021,5,82
DEI-002/CAM-02,2021,6,123
DEI-002/CAM-02,2021,7,98
DEI-002/CAM-02,2021,8,93
DEI-002/CAM-02,2021,9,111
DEI-002/CAM-02,2021,10,127
DEI-002/CAM-02,2021,11,123
DEI-002/CAM-02,2021,12,107
DEI-002/CAM-02,2022,1,130
DEI-002/CAM-02,2022,2,139
DEI-002/CAM-02,2022,3,146
DEI-002/CAM-02,2022,4,131
DEI-002/CAM-02,2022,5,135
DEI-002/CAM-02,2022,6,138
DEI-002/CAM-02,2022,7,137
DEI-002/CAM-02,2022,8,108
DEI-002/CAM-02,2022,9,136
DEI-002/CAM-02,2022,10,71
DEI-002/CAM-02,2022,11,61
DEI-002/CAM-02,2022,12,57
DEI-003/CAM-01,2019,1,60
DEI-003/CAM-01,2019,2,45
DEI-003/CAM-01,2019,3,46
DEI-003/CAM-01,2019,4,57
DEI-003/CAM-01,2019,5,74
DEI-003/CAM-01,2019,6,55
DEI-003/CAM-01,2019,7,63
DEI-003/CAM-01,2019,8,65
DEI-003/CAM-01,2019,9,50
DEI-003/CAM-01,2019,10,64
DEI-003/CAM-01,2019,11,55
DEI-003/CAM-01,2019,12,55
DEI-003/CAM-01,2020,1,40
DEI-003/CAM-01,2020,2,80
DEI-003/CAM-01,2020,3,34
DEI-003/CAM-01,2020,4,18
DEI-003/CAM-01,2020,5,25
DEI-003/CAM-01,2020,6,22
DEI-003/CAM-01,2020,7,20
DEI-003/CAM-01,2020,8,33
DEI-003/CAM-01,2020,9,46
DEI-003/CAM-01,2020,10,45
DEI-003/CAM-01,2020,11,48
DEI-003/CAM-01,2020,12,52
DEI-003/CAM-01,2021,1,31
DEI-003/CAM-01,2021,2,46
DEI-003/CAM-01,2021,3,60
DEI-003/CAM-01,2021,4,41
DEI-003/CAM-01,2021,5,36
DEI-003/CAM-01,2021,6,50
DEI-003/CAM-01,2021,7,44
DEI-003/CAM-01,2021,8,46
DEI-003/CAM-01,2021,9,64
DEI-003/CAM-01,2021,10,53
DEI-003/CAM-01,2021,11,58
DEI-003/CAM-01,2021,12,44
DEI-003/CAM-01,2022,1,50
DEI-003/CAM-01,2022,2,53
DEI-003/CAM-01,2022,3,63
DEI-003/CAM-01,2022,4,45
DEI-003/CAM-01,2022,5,65
DEI-003/CAM-01,2022,6,62
DEI-003/CAM-01,2022,7,58
DEI-003/CAM-01,2022,8,53
DEI-003/CAM-01,2022,9,56
DEI-003/CAM-01,2022,10,30
DEI-003/CAM-01,2022,11,25
DEI-003/CAM-01,2022,12,33
DEI-003/CAM-02,2019,1,60
DEI-003/CAM-02,2019,2,45
DEI-003/CAM-02,2019,3,46
DEI-003/CAM-02,2019,4,57
DEI-003/CAM-02,2019,5,74
DEI-003/CAM-02,2019,6,55
DEI-003/CAM-02,2019,7,63
DEI-003/CAM-02,2019,8,65
DEI-003/CAM-02,2019,9,50
DEI-003/CAM-02,2019,10,64
DEI-003/CAM-02,2019,11,55
DEI-003/CAM-02,2019,12,55
